City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
223,cockburn town,68,TC,1517957651,100,21.46,-71.14,75.83,22.53
224,richards bay,80,ZA,1517957651,87,-28.77,32.06,73.76,7.54
225,sarangarh,92,IN,1517957652,63,21.6,83.08,66.02,4.07
226,farafangana,24,MG,1517957652,100,-22.82,47.83,73.44,2.73
227,yerbogachen,64,RU,1517957652,75,61.28,108.01,-3.83,6.98
228,clyde river,90,CA,1517954400,75,70.47,-68.59,-20.21,40.26
229,kollegal,92,IN,1517957653,94,12.16,77.11,63.68,2.17
230,cochabamba,90,BO,1517954880,56,-17.39,-66.16,69.8,6.93
231,maragogi,100,BR,1517957437,86,-9.01,-35.22,79.47,7.99
232,dryden,90,CA,1517956320,77,49.79,-92.84,-0.41,8.05
233,kichera,56,RU,1517957654,63,55.93,110.1,-15.8,4.63
234,nerchinskiy zavod,0,RU,1517957655,37,51.31,119.61,-26.33,2.51
235,mnogovershinnyy,20,RU,1517957655,60,53.94,139.92,-13.37,4.74
236,opuwo,0,NA,1517957655,49,-18.06,13.84,63.32,4.18
237,verkhneuralsk,0,RU,1517954400,76,53.88,59.21,-9.41,3.51
238,arlit,12,NE,1517957656,60,18.74,7.39,64.22,2.62
239,balabac,0,PH,1517957656,100,7.99,117.06,80.06,16.82
240,coquimbo,40,CL,1517954400,72,-29.95,-71.34,66.2,8.05
241,reforma,75,MX,1517953440,13,24.02,-104.65,75.2,19.46
242,beyneu,0,KZ,1517957657,78,45.32,55.19,11.84,11.68
243,carnarvon,92,ZA,1517957657,59,-30.97,22.13,65.84,13.24
244,ribas do rio pardo,0,BR,1517957658,68,-20.45,-53.76,77.04,1.61
245,moron,40,VE,1517954400,58,10.49,-68.2,82.4,6.08
246,puerto ayacucho,48,CO,1517957658,58,5.66,-67.63,84.47,5.75
247,kaitangata,64,NZ,1517957658,80,-46.28,169.85,59.67,14.14
248,olinda,90,EC,1517954400,83,-2.03,-79.75,78.8,2.24
